Store,Product Name,Category,Current Stock,Reorder Level,Unit Price,Supplier,Status,Expiry Date,Waste Risk %
Store A - Downtown,Apples,Fresh Produce,110,29,2.7,GreenLeaf Farms,Active,2026-05-09,73
Store A - Downtown,Bananas,Fresh Produce,61,19,1.46,DairyBest Ltd.,Active,2026-05-11,77
Store A - Downtown,Lettuce,Fresh Produce,85,24,1.99,DairyBest Ltd.,Active,2026-05-11,61
Store A - Downtown,Tomatoes,Fresh Produce,23,20,2.42,DairyBest Ltd.,Active,2026-05-09,57
Store A - Downtown,Milk,Dairy,114,25,1.75,BakerySupply Co.,Active,2026-05-12,70
Store A - Downtown,Cheese,Dairy,74,10,4.7,DairyBest Ltd.,Active,2026-05-20,56
Store A - Downtown,Yogurt,Dairy,96,15,2.43,GreenLeaf Farms,Active,2026-05-10,59
Store A - Downtown,Chicken,Meat,41,10,6.95,BakerySupply Co.,Active,2026-05-10,94
Store A - Downtown,Beef,Meat,79,22,11.56,FreshFarm Co.,Active,2026-05-08,76
Store A - Downtown,Bread,Bakery,50,11,3.2,DairyBest Ltd.,Active,2026-05-12,59
Store A - Downtown,Oranges,Fresh Produce,40,18,2.29,MeatMaster Inc.,Active,2026-05-08,58
Store A - Downtown,Carrots,Fresh Produce,91,26,1.59,GreenLeaf Farms,Active,2026-05-14,57
Store A - Downtown,Salmon,Meat,98,27,12.41,BakerySupply Co.,Active,2026-05-08,75
Store A - Downtown,Butter,Dairy,106,25,4.48,DairyBest Ltd.,Active,2026-05-12,64
Store A - Downtown,Muffins,Bakery,36,29,3.89,DairyBest Ltd.,Active,2026-05-10,56
Store B - Mall,Apples,Fresh Produce,114,15,3.13,BakerySupply Co.,Active,2026-05-11,82
Store B - Mall,Bananas,Fresh Produce,80,16,1.41,BakerySupply Co.,Active,2026-05-10,77
Store B - Mall,Lettuce,Fresh Produce,20,27,1.95,MeatMaster Inc.,Active,2026-05-09,72
Store B - Mall,Tomatoes,Fresh Produce,57,26,2.59,BakerySupply Co.,Active,2026-05-12,84
Store B - Mall,Milk,Dairy,24,13,1.45,BakerySupply Co.,Active,2026-05-14,53
Store B - Mall,Cheese,Dairy,95,18,5.97,FreshFarm Co.,Active,2026-05-14,63
