Date,Store,Product,Category,Actual_Sales,Predicted_Sales,Unit_Price
2026-02-06,Store A - Downtown,Apples,Fresh Produce,61,64,2.6
2026-02-06,Store A - Downtown,Bananas,Fresh Produce,137,146,1.26
2026-02-06,Store A - Downtown,Lettuce,Fresh Produce,131,130,1.75
2026-02-06,Store A - Downtown,Tomatoes,Fresh Produce,169,172,2.34
2026-02-06,Store A - Downtown,Milk,Dairy,114,114,1.37
2026-02-06,Store A - Downtown,Cheese,Dairy,117,119,5.26
2026-02-06,Store A - Downtown,Yogurt,Dairy,159,167,2.11
2026-02-06,Store A - Downtown,Chicken,Meat,90,89,6.82
2026-02-06,Store A - Downtown,Beef,Meat,127,131,10.94
2026-02-06,Store A - Downtown,Bread,Bakery,68,66,2.78
2026-02-06,Store A - Downtown,Oranges,Fresh Produce,140,139,1.89
2026-02-06,Store A - Downtown,Carrots,Fresh Produce,78,77,1.6
2026-02-06,Store A - Downtown,Salmon,Meat,126,131,12.73
2026-02-06,Store A - Downtown,Butter,Dairy,139,134,3.63
2026-02-06,Store A - Downtown,Muffins,Bakery,124,115,3.17
2026-02-07,Store A - Downtown,Apples,Fresh Produce,86,88,2.64
2026-02-07,Store A - Downtown,Bananas,Fresh Produce,152,144,1.11
2026-02-07,Store A - Downtown,Lettuce,Fresh Produce,139,138,1.82
2026-02-07,Store A - Downtown,Tomatoes,Fresh Produce,76,76,2.23
2026-02-07,Store A - Downtown,Milk,Dairy,174,162,1.48
2026-02-07,Store A - Downtown,Cheese,Dairy,212,222,4.73
2026-02-07,Store A - Downtown,Yogurt,Dairy,86,83,1.92
2026-02-07,Store A - Downtown,Chicken,Meat,132,137,7.75
2026-02-07,Store A - Downtown,Beef,Meat,163,170,9.33
2026-02-07,Store A - Downtown,Bread,Bakery,103,106,2.78
2026-02-07,Store A - Downtown,Oranges,Fresh Produce,60,60,1.86
2026-02-07,Store A - Downtown,Carrots,Fresh Produce,138,135,1.44
2026-02-07,Store A - Downtown,Salmon,Meat,177,173,11.01
2026-02-07,Store A - Downtown,Butter,Dairy,129,136,3.64
2026-02-07,Store A - Downtown,Muffins,Bakery,75,79,3.17
2026-02-08,Store A - Downtown,Apples,Fresh Produce,99,95,2.3
2026-02-08,Store A - Downtown,Bananas,Fresh Produce,186,184,1.13
2026-02-08,Store A - Downtown,Lettuce,Fresh Produce,174,166,1.93
2026-02-08,Store A - Downtown,Tomatoes,Fresh Produce,113,116,2.17
2026-02-08,Store A - Downtown,Milk,Dairy,109,111,1.38
2026-02-08,Store A - Downtown,Cheese,Dairy,153,143,4.99
2026-02-08,Store A - Downtown,Yogurt,Dairy,81,76,2.04
2026-02-08,Store A - Downtown,Chicken,Meat,101,107,7.62
2026-02-08,Store A - Downtown,Beef,Meat,131,122,10.92
2026-02-08,Store A - Downtown,Bread,Bakery,112,116,2.57
2026-02-08,Store A - Downtown,Oranges,Fresh Produce,102,108,2.03
2026-02-08,Store A - Downtown,Carrots,Fresh Produce,133,128,1.45
2026-02-08,Store A - Downtown,Salmon,Meat,141,131,12.78
2026-02-08,Store A - Downtown,Butter,Dairy,154,146,3.54
2026-02-08,Store A - Downtown,Muffins,Bakery,113,109,3.1
2026-02-09,Store A - Downtown,Apples,Fresh Produce,62,64,2.3
2026-02-09,Store A - Downtown,Bananas,Fresh Produce,112,104,1.21
2026-02-09,Store A - Downtown,Lettuce,Fresh Produce,151,157,1.91
2026-02-09,Store A - Downtown,Tomatoes,Fresh Produce,179,173,2.21
2026-02-09,Store A - Downtown,Milk,Dairy,79,83,1.4
2026-02-09,Store A - Downtown,Cheese,Dairy,109,116,5.39
2026-02-09,Store A - Downtown,Yogurt,Dairy,55,58,2.16
2026-02-09,Store A - Downtown,Chicken,Meat,58,60,7.74
2026-02-09,Store A - Downtown,Beef,Meat,105,99,10.49
2026-02-09,Store A - Downtown,Bread,Bakery,101,97,2.59
2026-02-09,Store A - Downtown,Oranges,Fresh Produce,84,79,1.87
2026-02-09,Store A - Downtown,Carrots,Fresh Produce,98,93,1.44
2026-02-09,Store A - Downtown,Salmon,Meat,125,133,12.0
