Date,Store,Product,Category,Quantity,Unit,Reason,Value_Lost,Notes
2026-02-06,Store A - Downtown,Oranges,Fresh Produce,5.18,kg,Damaged,11.7,
2026-02-06,Store A - Downtown,Bread,Bakery,2.03,pcs,Expired,4.93,
2026-02-06,Store A - Downtown,Tomatoes,Fresh Produce,7.03,kg,Expired,14.5,
2026-02-07,Store A - Downtown,Carrots,Fresh Produce,2.11,kg,Expired,3.08,
2026-02-07,Store A - Downtown,Salmon,Meat,11.25,kg,Expired,156.94,
2026-02-07,Store A - Downtown,Bananas,Fresh Produce,3.54,kg,Expired,3.73,
2026-02-07,Store A - Downtown,Oranges,Fresh Produce,5.62,kg,Overstock,12.37,
2026-02-07,Store A - Downtown,Apples,Fresh Produce,2.52,kg,Customer Return,6.51,
2026-02-08,Store A - Downtown,Beef,Meat,4.76,kg,Overstock,40.34,
2026-02-08,Store A - Downtown,Carrots,Fresh Produce,2.63,kg,Expired,4.73,
2026-02-09,Store A - Downtown,Carrots,Fresh Produce,1.81,kg,Damaged,3.07,
2026-02-09,Store A - Downtown,Bananas,Fresh Produce,8.66,kg,Expired,10.55,
2026-02-09,Store A - Downtown,Cheese,Dairy,4.83,kg,Customer Return,23.14,
2026-02-10,Store A - Downtown,Salmon,Meat,9.71,kg,Damaged,93.73,
2026-02-10,Store A - Downtown,Oranges,Fresh Produce,4.28,kg,Expired,7.37,
2026-02-10,Store A - Downtown,Apples,Fresh Produce,1.36,kg,Quality Issues,2.97,
2026-02-11,Store A - Downtown,Cheese,Dairy,3.41,kg,Expired,16.68,
2026-02-11,Store A - Downtown,Bananas,Fresh Produce,3.02,kg,Expired,3.06,
2026-02-11,Store A - Downtown,Butter,Dairy,1.9,kg,Expired,5.72,
2026-02-11,Store A - Downtown,Muffins,Bakery,10.6,pcs,Expired,34.42,
2026-02-12,Store A - Downtown,Beef,Meat,0.5,kg,Quality Issues,4.95,
2026-02-12,Store A - Downtown,Cheese,Dairy,0.89,kg,Expired,4.46,
2026-02-12,Store A - Downtown,Yogurt,Dairy,1.25,kg,Damaged,2.53,
2026-02-13,Store A - Downtown,Oranges,Fresh Produce,5.39,kg,Damaged,10.6,
2026-02-13,Store A - Downtown,Chicken,Meat,8.38,kg,Overstock,50.57,
2026-02-13,Store A - Downtown,Salmon,Meat,11.82,kg,Staff Error,129.43,
2026-02-14,Store A - Downtown,Chicken,Meat,11.16,kg,Overstock,67.59,
2026-02-14,Store A - Downtown,Bread,Bakery,8.65,pcs,Expired,25.88,
2026-02-15,Store A - Downtown,Cheese,Dairy,3.9,kg,Expired,17.02,
2026-02-15,Store A - Downtown,Bread,Bakery,3.84,pcs,Customer Return,10.6,
2026-02-15,Store A - Downtown,Beef,Meat,4.14,kg,Damaged,46.93,
2026-02-15,Store A - Downtown,Chicken,Meat,6.84,kg,Expired,45.1,
2026-02-16,Store A - Downtown,Apples,Fresh Produce,4.68,kg,Overstock,13.22,
2026-02-16,Store A - Downtown,Salmon,Meat,11.86,kg,Overstock,128.22,
2026-02-16,Store A - Downtown,Chicken,Meat,2.56,kg,Overstock,21.28,
2026-02-17,Store A - Downtown,Oranges,Fresh Produce,3.67,kg,Expired,6.84,
2026-02-17,Store A - Downtown,Chicken,Meat,7.5,kg,Damaged,48.61,
2026-02-17,Store A - Downtown,Cheese,Dairy,3.86,kg,Overstock,15.44,
2026-02-17,Store A - Downtown,Tomatoes,Fresh Produce,7.14,kg,Overstock,14.65,
2026-02-17,Store A - Downtown,Bananas,Fresh Produce,5.06,kg,Expired,5.94,
2026-02-17,Store A - Downtown,Carrots,Fresh Produce,2.47,kg,Damaged,4.44,
2026-02-18,Store A - Downtown,Oranges,Fresh Produce,4.69,kg,Customer Return,9.42,
2026-02-18,Store A - Downtown,Chicken,Meat,6.69,kg,Staff Error,58.88,
2026-02-18,Store A - Downtown,Milk,Dairy,11.97,kg,Expired,14.39,
2026-02-19,Store A - Downtown,Milk,Dairy,3.73,kg,Quality Issues,4.99,
2026-02-19,Store A - Downtown,Carrots,Fresh Produce,2.55,kg,Expired,3.98,
2026-02-19,Store A - Downtown,Bread,Bakery,7.21,pcs,Expired,19.7,
2026-02-19,Store A - Downtown,Cheese,Dairy,5.15,kg,Damaged,21.17,
2026-02-19,Store A - Downtown,Bananas,Fresh Produce,8.99,kg,Expired,10.73,
2026-02-20,Store A - Downtown,Apples,Fresh Produce,0.78,kg,Damaged,2.04,
2026-02-20,Store A - Downtown,Butter,Dairy,2.03,kg,Expired,6.02,
2026-02-20,Store A - Downtown,Yogurt,Dairy,4.14,kg,Damaged,9.38,
2026-02-20,Store A - Downtown,Cheese,Dairy,1.63,kg,Expired,7.7,
2026-02-21,Store A - Downtown,Muffins,Bakery,2.54,pcs,Expired,8.16,
2026-02-21,Store A - Downtown,Beef,Meat,2.13,kg,Overstock,19.55,
2026-02-22,Store A - Downtown,Lettuce,Fresh Produce,2.95,kg,Expired,4.81,
2026-02-22,Store A - Downtown,Chicken,Meat,8.82,kg,Damaged,75.16,
2026-02-22,Store A - Downtown,Butter,Dairy,2.29,kg,Damaged,7.21,
2026-02-22,Store A - Downtown,Cheese,Dairy,4.86,kg,Customer Return,27.57,
2026-02-22,Store A - Downtown,Salmon,Meat,2.04,kg,Overstock,26.48,
2026-02-22,Store A - Downtown,Tomatoes,Fresh Produce,11.4,kg,Expired,27.95,
2026-02-23,Store A - Downtown,Tomatoes,Fresh Produce,5.32,kg,Quality Issues,9.98,
2026-02-23,Store A - Downtown,Oranges,Fresh Produce,4.01,kg,Other,9.29,
2026-02-23,Store A - Downtown,Yogurt,Dairy,4.19,kg,Quality Issues,7.09,
2026-02-23,Store A - Downtown,Milk,Dairy,6.74,kg,Damaged,11.25,
2026-02-23,Store A - Downtown,Bread,Bakery,4.47,pcs,Expired,13.51,
2026-02-23,Store A - Downtown,Beef,Meat,3.21,kg,Quality Issues,31.86,
2026-02-24,Store A - Downtown,Carrots,Fresh Produce,2.39,kg,Overstock,3.25,
2026-02-24,Store A - Downtown,Beef,Meat,2.2,kg,Customer Return,19.63,
2026-02-25,Store A - Downtown,Butter,Dairy,2.31,kg,Expired,8.39,
2026-02-25,Store A - Downtown,Bread,Bakery,7.42,pcs,Expired,20.7,
2026-02-26,Store A - Downtown,Carrots,Fresh Produce,2.4,kg,Overstock,3.69,
2026-02-26,Store A - Downtown,Oranges,Fresh Produce,5.66,kg,Damaged,10.88,
2026-02-26,Store A - Downtown,Tomatoes,Fresh Produce,10.26,kg,Staff Error,22.38,
2026-02-27,Store A - Downtown,Bananas,Fresh Produce,7.08,kg,Expired,8.94,
2026-02-27,Store A - Downtown,Chicken,Meat,5.58,kg,Quality Issues,33.53,
2026-02-27,Store A - Downtown,Lettuce,Fresh Produce,10.09,kg,Expired,21.5,
2026-02-27,Store A - Downtown,Carrots,Fresh Produce,2.33,kg,Expired,4.16,
2026-02-27,Store A - Downtown,Muffins,Bakery,6.75,pcs,Damaged,23.57,
2026-02-28,Store A - Downtown,Carrots,Fresh Produce,1.12,kg,Expired,1.36,
2026-02-28,Store A - Downtown,Oranges,Fresh Produce,2.4,kg,Overstock,4.43,
2026-02-28,Store A - Downtown,Muffins,Bakery,7.59,pcs,Expired,21.44,
2026-03-01,Store A - Downtown,Muffins,Bakery,7.47,pcs,Customer Return,26.48,
2026-03-01,Store A - Downtown,Chicken,Meat,1.86,kg,Overstock,12.48,
2026-03-01,Store A - Downtown,Beef,Meat,2.75,kg,Overstock,29.83,
2026-03-01,Store A - Downtown,Bananas,Fresh Produce,10.32,kg,Overstock,13.76,
2026-03-02,Store A - Downtown,Bananas,Fresh Produce,7.06,kg,Overstock,7.15,
2026-03-02,Store A - Downtown,Chicken,Meat,6.01,kg,Expired,46.28,
2026-03-02,Store A - Downtown,Tomatoes,Fresh Produce,5.6,kg,Expired,9.88,
2026-03-03,Store A - Downtown,Chicken,Meat,6.88,kg,Overstock,54.68,
2026-03-03,Store A - Downtown,Tomatoes,Fresh Produce,4.95,kg,Expired,12.73,
2026-03-03,Store A - Downtown,Cheese,Dairy,5.74,kg,Damaged,29.63,
2026-03-03,Store A - Downtown,Bread,Bakery,1.8,pcs,Expired,4.19,
2026-03-04,Store A - Downtown,Tomatoes,Fresh Produce,1.59,kg,Expired,3.37,
2026-03-04,Store A - Downtown,Bread,Bakery,7.19,pcs,Overstock,19.79,
2026-03-04,Store A - Downtown,Oranges,Fresh Produce,3.03,kg,Quality Issues,5.55,
2026-03-05,Store A - Downtown,Tomatoes,Fresh Produce,8.74,kg,Damaged,17.5,
2026-03-05,Store A - Downtown,Carrots,Fresh Produce,0.58,kg,Expired,0.99,
2026-03-06,Store A - Downtown,Tomatoes,Fresh Produce,4.26,kg,Damaged,9.0,
2026-03-06,Store A - Downtown,Muffins,Bakery,10.76,pcs,Overstock,37.58,
2026-03-06,Store A - Downtown,Apples,Fresh Produce,5.25,kg,Staff Error,15.65,
2026-03-06,Store A - Downtown,Chicken,Meat,4.77,kg,Expired,30.98,
2026-03-07,Store A - Downtown,Milk,Dairy,10.12,kg,Quality Issues,15.96,
2026-03-07,Store A - Downtown,Beef,Meat,2.9,kg,Expired,29.06,
2026-03-07,Store A - Downtown,Oranges,Fresh Produce,1.38,kg,Overstock,2.55,
2026-03-08,Store A - Downtown,Cheese,Dairy,0.53,kg,Customer Return,2.12,
2026-03-08,Store A - Downtown,Yogurt,Dairy,1.69,kg,Other,3.69,
2026-03-08,Store A - Downtown,Beef,Meat,4.04,kg,Overstock,38.92,
2026-03-08,Store A - Downtown,Bread,Bakery,9.73,pcs,Expired,30.45,
2026-03-08,Store A - Downtown,Lettuce,Fresh Produce,11.37,kg,Customer Return,22.43,
2026-03-09,Store A - Downtown,Tomatoes,Fresh Produce,10.59,kg,Overstock,22.69,
2026-03-09,Store A - Downtown,Chicken,Meat,9.74,kg,Expired,82.2,
2026-03-09,Store A - Downtown,Beef,Meat,4.96,kg,Expired,40.43,
2026-03-10,Store A - Downtown,Butter,Dairy,2.39,kg,Overstock,9.53,
2026-03-10,Store A - Downtown,Tomatoes,Fresh Produce,11.61,kg,Overstock,22.8,
2026-03-10,Store A - Downtown,Lettuce,Fresh Produce,2.47,kg,Customer Return,3.99,
2026-03-10,Store A - Downtown,Apples,Fresh Produce,5.41,kg,Customer Return,14.22,
2026-03-10,Store A - Downtown,Cheese,Dairy,3.82,kg,Staff Error,21.06,
2026-03-10,Store A - Downtown,Chicken,Meat,8.67,kg,Damaged,64.61,
2026-03-11,Store A - Downtown,Cheese,Dairy,4.01,kg,Quality Issues,16.34,
2026-03-11,Store A - Downtown,Muffins,Bakery,10.45,pcs,Damaged,34.32,
2026-03-12,Store A - Downtown,Apples,Fresh Produce,4.13,kg,Damaged,9.51,
2026-03-12,Store A - Downtown,Muffins,Bakery,4.77,pcs,Expired,12.2,
2026-03-13,Store A - Downtown,Yogurt,Dairy,2.81,kg,Expired,6.41,
2026-03-13,Store A - Downtown,Oranges,Fresh Produce,2.84,kg,Overstock,6.66,
2026-03-13,Store A - Downtown,Cheese,Dairy,4.72,kg,Damaged,24.03,
2026-03-13,Store A - Downtown,Lettuce,Fresh Produce,10.42,kg,Quality Issues,16.35,
2026-03-14,Store A - Downtown,Beef,Meat,4.92,kg,Expired,47.93,
2026-03-14,Store A - Downtown,Bread,Bakery,6.94,pcs,Expired,20.83,
2026-03-15,Store A - Downtown,Muffins,Bakery,5.04,pcs,Customer Return,17.33,
2026-03-15,Store A - Downtown,Yogurt,Dairy,4.97,kg,Customer Return,11.74,
2026-03-16,Store A - Downtown,Cheese,Dairy,4.9,kg,Overstock,23.33,
2026-03-16,Store A - Downtown,Yogurt,Dairy,5.87,kg,Expired,13.65,
2026-03-17,Store A - Downtown,Chicken,Meat,8.25,kg,Overstock,54.92,
2026-03-17,Store A - Downtown,Apples,Fresh Produce,1.68,kg,Expired,3.62,
2026-03-17,Store A - Downtown,Tomatoes,Fresh Produce,5.03,kg,Damaged,9.43,
2026-03-17,Store A - Downtown,Salmon,Meat,7.35,kg,Expired,79.52,
2026-03-18,Store A - Downtown,Muffins,Bakery,2.07,pcs,Overstock,5.41,
2026-03-18,Store A - Downtown,Lettuce,Fresh Produce,7.48,kg,Customer Return,12.82,
2026-03-18,Store A - Downtown,Salmon,Meat,11.25,kg,Overstock,124.25,
2026-03-19,Store A - Downtown,Bananas,Fresh Produce,6.31,kg,Expired,6.37,
2026-03-19,Store A - Downtown,Salmon,Meat,11.65,kg,Expired,165.89,
2026-03-20,Store A - Downtown,Bananas,Fresh Produce,5.53,kg,Quality Issues,6.46,
2026-03-20,Store A - Downtown,Bread,Bakery,2.28,pcs,Expired,7.3,
2026-03-21,Store A - Downtown,Chicken,Meat,2.36,kg,Other,20.25,
2026-03-21,Store A - Downtown,Yogurt,Dairy,2.25,kg,Customer Return,4.83,
2026-03-21,Store A - Downtown,Apples,Fresh Produce,4.16,kg,Expired,12.09,
2026-03-21,Store A - Downtown,Tomatoes,Fresh Produce,6.23,kg,Quality Issues,12.61,
2026-03-21,Store A - Downtown,Muffins,Bakery,4.73,pcs,Staff Error,14.17,
2026-03-22,Store A - Downtown,Salmon,Meat,10.73,kg,Customer Return,106.76,
2026-03-22,Store A - Downtown,Apples,Fresh Produce,3.7,kg,Other,10.84,
2026-03-22,Store A - Downtown,Butter,Dairy,1.67,kg,Overstock,6.09,
2026-03-23,Store A - Downtown,Lettuce,Fresh Produce,4.0,kg,Expired,5.78,
2026-03-23,Store A - Downtown,Salmon,Meat,3.13,kg,Other,36.57,
2026-03-23,Store A - Downtown,Bananas,Fresh Produce,3.55,kg,Staff Error,3.45,
2026-03-23,Store A - Downtown,Oranges,Fresh Produce,3.16,kg,Quality Issues,7.01,
2026-03-23,Store A - Downtown,Milk,Dairy,3.49,kg,Overstock,5.49,
2026-03-23,Store A - Downtown,Chicken,Meat,8.59,kg,Expired,72.43,
2026-03-24,Store A - Downtown,Chicken,Meat,11.37,kg,Customer Return,94.91,
2026-03-24,Store A - Downtown,Bananas,Fresh Produce,4.54,kg,Expired,5.61,
2026-03-25,Store A - Downtown,Muffins,Bakery,7.76,pcs,Damaged,23.91,
2026-03-25,Store A - Downtown,Milk,Dairy,2.37,kg,Quality Issues,2.93,
2026-03-25,Store A - Downtown,Beef,Meat,3.68,kg,Expired,32.5,
2026-03-25,Store A - Downtown,Oranges,Fresh Produce,1.78,kg,Expired,4.12,
2026-03-25,Store A - Downtown,Apples,Fresh Produce,4.92,kg,Expired,10.12,
2026-03-25,Store A - Downtown,Lettuce,Fresh Produce,9.72,kg,Expired,17.28,
2026-03-26,Store A - Downtown,Bananas,Fresh Produce,11.98,kg,Expired,17.0,
2026-03-26,Store A - Downtown,Milk,Dairy,10.59,kg,Other,17.58,
2026-03-27,Store A - Downtown,Bananas,Fresh Produce,2.13,kg,Expired,2.27,
2026-03-27,Store A - Downtown,Salmon,Meat,5.75,kg,Expired,62.79,
2026-03-27,Store A - Downtown,Butter,Dairy,1.03,kg,Overstock,3.08,
2026-03-27,Store A - Downtown,Chicken,Meat,4.03,kg,Expired,29.61,
2026-03-27,Store A - Downtown,Lettuce,Fresh Produce,1.9,kg,Other,3.15,
2026-03-27,Store A - Downtown,Beef,Meat,2.08,kg,Overstock,23.75,
2026-03-28,Store A - Downtown,Cheese,Dairy,3.16,kg,Damaged,18.86,
2026-03-28,Store A - Downtown,Chicken,Meat,11.96,kg,Overstock,74.2,
2026-03-28,Store A - Downtown,Tomatoes,Fresh Produce,7.45,kg,Staff Error,19.18,
2026-03-29,Store A - Downtown,Muffins,Bakery,6.65,pcs,Expired,18.55,
2026-03-29,Store A - Downtown,Butter,Dairy,0.97,kg,Customer Return,3.27,
2026-03-29,Store A - Downtown,Beef,Meat,1.84,kg,Overstock,19.4,
2026-03-29,Store A - Downtown,Lettuce,Fresh Produce,9.01,kg,Quality Issues,13.63,
2026-03-30,Store A - Downtown,Apples,Fresh Produce,2.32,kg,Quality Issues,6.33,
2026-03-30,Store A - Downtown,Bananas,Fresh Produce,11.77,kg,Damaged,12.24,
2026-03-30,Store A - Downtown,Salmon,Meat,9.53,kg,Quality Issues,123.84,
2026-03-30,Store A - Downtown,Butter,Dairy,2.62,kg,Damaged,9.87,
2026-03-31,Store A - Downtown,Yogurt,Dairy,1.35,kg,Expired,2.89,
2026-03-31,Store A - Downtown,Muffins,Bakery,10.69,pcs,Expired,31.16,
2026-03-31,Store A - Downtown,Tomatoes,Fresh Produce,1.54,kg,Damaged,3.09,
2026-04-01,Store A - Downtown,Yogurt,Dairy,1.34,kg,Expired,2.27,
2026-04-01,Store A - Downtown,Lettuce,Fresh Produce,6.13,kg,Customer Return,10.95,
2026-04-01,Store A - Downtown,Chicken,Meat,6.29,kg,Expired,43.59,
2026-04-01,Store A - Downtown,Carrots,Fresh Produce,2.82,kg,Expired,4.62,
2026-04-01,Store A - Downtown,Butter,Dairy,0.32,kg,Expired,1.04,
2026-04-02,Store A - Downtown,Muffins,Bakery,7.93,pcs,Overstock,24.95,
2026-04-02,Store A - Downtown,Oranges,Fresh Produce,2.07,kg,Expired,4.78,
2026-04-02,Store A - Downtown,Salmon,Meat,7.48,kg,Expired,86.65,
