Date,Store,Product,Category,Quantity,Unit,Reason,Value_Lost,Notes
2026-02-06,Store A - Downtown,Apples,Fresh Produce,7.77,kg,Expired,19.42,
2026-02-06,Store A - Downtown,Lettuce,Fresh Produce,5.43,kg,Staff Error,9.77,
2026-02-06,Store A - Downtown,Tomatoes,Fresh Produce,6.87,kg,Overstock,15.11,
2026-02-06,Store A - Downtown,Milk,Dairy,1.15,kg,Overstock,1.72,
2026-02-06,Store A - Downtown,Yogurt,Dairy,5.31,kg,Staff Error,10.62,
2026-02-06,Store A - Downtown,Chicken,Meat,6.08,kg,Overstock,45.6,
2026-02-07,Store A - Downtown,Apples,Fresh Produce,7.54,kg,Expired,18.85,
2026-02-07,Store A - Downtown,Bananas,Fresh Produce,7.02,kg,Other,8.42,
2026-02-07,Store A - Downtown,Milk,Dairy,2.86,kg,Staff Error,4.29,
2026-02-07,Store A - Downtown,Cheese,Dairy,6.98,kg,Overstock,34.9,
2026-02-07,Store A - Downtown,Yogurt,Dairy,5.0,kg,Customer Return,10.0,
2026-02-07,Store A - Downtown,Chicken,Meat,6.48,kg,Overstock,48.6,
2026-02-08,Store A - Downtown,Bananas,Fresh Produce,6.77,kg,Expired,8.12,
2026-02-08,Store A - Downtown,Lettuce,Fresh Produce,5.92,kg,Other,10.66,
2026-02-08,Store A - Downtown,Tomatoes,Fresh Produce,2.62,kg,Staff Error,5.76,
2026-02-08,Store A - Downtown,Milk,Dairy,1.52,kg,Other,2.28,
2026-02-08,Store A - Downtown,Yogurt,Dairy,2.55,kg,Staff Error,5.1,
2026-02-09,Store A - Downtown,Apples,Fresh Produce,0.84,kg,Staff Error,2.1,
2026-02-09,Store A - Downtown,Lettuce,Fresh Produce,7.02,kg,Customer Return,12.64,
2026-02-09,Store A - Downtown,Milk,Dairy,7.74,kg,Other,11.61,
2026-02-09,Store A - Downtown,Cheese,Dairy,5.63,kg,Expired,28.15,
2026-02-09,Store A - Downtown,Yogurt,Dairy,1.69,kg,Expired,3.38,
2026-02-09,Store A - Downtown,Chicken,Meat,4.47,kg,Staff Error,33.52,
2026-02-10,Store A - Downtown,Apples,Fresh Produce,5.28,kg,Customer Return,13.2,
2026-02-10,Store A - Downtown,Lettuce,Fresh Produce,7.56,kg,Expired,13.61,
2026-02-10,Store A - Downtown,Milk,Dairy,1.81,kg,Customer Return,2.71,
2026-02-10,Store A - Downtown,Yogurt,Dairy,6.74,kg,Expired,13.48,
2026-02-10,Store A - Downtown,Chicken,Meat,5.9,kg,Quality Issues,44.25,
2026-02-11,Store A - Downtown,Bananas,Fresh Produce,6.98,kg,Overstock,8.38,
2026-02-11,Store A - Downtown,Lettuce,Fresh Produce,2.72,kg,Customer Return,4.9,
2026-02-11,Store A - Downtown,Tomatoes,Fresh Produce,6.99,kg,Quality Issues,15.38,
2026-02-11,Store A - Downtown,Yogurt,Dairy,6.3,kg,Other,12.6,
2026-02-11,Store A - Downtown,Chicken,Meat,7.77,kg,Other,58.27,
